UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
7	3
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	5
0	1
1	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
2	1
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	0
0	2
0	0
2	2
0	0
0	0
0	0
1	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
1	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
1	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	1
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
1	0
0	0
0	0
0	0
1	12
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	4
0	0
1	1
0	0
0	0
0	0
2	10
2	1
0	0
0	0
0	0
1	0
0	0
0	0
1	1
3	0
0	0
0	0
0	0
0	1
0	5
0	0
0	0
0	0
1	0
0	0
1	2
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
1	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
11	3
1	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	4
1	1
3	3
0	0
0	1
0	0
2	2
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
2	2
2	1
8	2
0	0
0	0
0	0
0	4
0	0
0	4
0	0
0	0
0	0
3	2
0	0
0	0
0	0
0	0
0	0
0	0
0	1
3	4
1	1
1	1
0	0
0	0
0	0
0	0
0	1
0	0
0	3
0	0
0	0
3	3
0	0
0	0
1	2
14	13
0	0
1	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
