UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
0	1
0	0
0	0
3	1
0	0
0	0
0	0
2	4
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
6	8
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
9	9
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
5	1
0	0
0	0
0	0
0	0
0	0
0	0
2	1
0	1
0	0
0	2
0	0
1	0
0	0
1	0
0	1
1	0
0	0
0	5
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	2
0	1
0	0
0	1
0	0
0	0
1	0
0	0
0	0
3	5
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
3	3
0	0
0	0
0	0
1	2
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	1
0	0
2	9
2	0
0	0
0	0
0	0
2	2
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	1
1	1
0	0
0	0
0	0
1	0
0	0
0	0
0	1
3	2
0	0
0	0
0	0
0	1
0	4
0	1
0	0
0	0
0	0
0	0
1	1
1	2
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	1
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	1
0	0
1	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	1
20	14
1	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
1	6
0	0
0	6
0	0
0	2
1	0
1	1
3	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	2
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	3
0	3
2	5
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	3
0	1
1	2
0	0
0	1
0	0
0	0
0	0
1	0
0	3
0	0
0	0
4	8
0	0
0	0
0	3
36	34
0	0
0	1
0	0
0	0
0	0
2	0
0	0
0	0
0	0
