UniqueCount	AmbigCount
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	1
0	0
0	0
3	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
1	1
0	1
0	0
0	0
0	0
0	0
4	9
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	2
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
2	2
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
12	9
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
3	1
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	1
0	0
0	4
0	0
0	2
0	0
0	0
0	0
1	0
0	0
0	1
0	0
3	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	5
0	0
0	2
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	1
0	2
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
3	2
0	0
0	2
0	0
0	0
0	0
0	0
1	2
2	0
0	0
0	1
0	0
0	1
0	0
3	6
2	2
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	3
2	1
0	0
0	0
0	0
0	1
0	0
0	0
2	0
2	1
0	0
0	0
0	0
0	2
0	8
0	0
0	0
0	0
0	0
0	0
1	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	2
1	1
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	1
0	0
1	4
0	0
0	0
0	0
0	1
4	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	5
3	2
4	7
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	0
0	0
0	0
0	0
1	0
2	0
6	1
0	1
1	1
0	0
1	2
0	0
0	0
0	0
0	0
0	3
0	0
0	0
9	5
0	0
0	0
0	1
36	32
0	0
2	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
